artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
0.000,0.935,0.273,0.900,0.064,0.143,0.302,0.061,0.364,0.061,0.017,0.034,0.369,0.521,0.441,0.682,0.021,0.000,0.064,0.016
0.000,0.978,0.182,0.333,0.079,0.299,0.226,0.146,0.393,0.336,0.293,0.161,0.348,0.740,0.656,0.716,0.021,0.000,0.043,0.048
0.000,0.871,0.000,0.000,0.278,0.293,0.314,0.131,0.407,0.002,0.086,0.545,0.305,0.521,0.462,0.670,0.000,0.000,0.106,0.016
0.143,0.882,0.000,0.000,0.506,0.218,0.295,0.103,0.411,0.714,0.000,0.481,0.560,0.699,0.355,0.500,0.072,0.000,0.191,0.129
0.000,0.989,1.000,0.033,0.003,0.041,0.049,0.010,0.022,0.000,0.000,0.050,0.461,0.384,0.151,0.398,0.784,0.000,0.085,0.016
0.143,1.000,0.455,0.700,0.001,0.122,0.011,0.003,0.385,0.004,0.034,0.193,0.362,0.740,0.806,0.602,0.340,0.011,0.128,0.016
0.000,1.000,0.545,0.200,0.001,0.102,0.010,0.031,0.189,0.006,0.017,0.000,0.397,0.575,0.484,0.784,0.000,0.000,0.149,0.032
0.000,0.591,0.091,0.533,0.789,0.170,0.326,0.150,0.116,0.003,0.000,0.699,0.333,0.562,0.538,0.818,0.371,0.000,0.085,0.065
0.000,0.903,1.000,0.267,0.400,0.245,0.484,0.119,0.236,0.489,0.000,0.015,0.248,0.644,0.462,0.489,0.309,0.000,0.032,0.500
0.000,1.000,0.091,0.800,0.056,0.401,0.054,0.110,0.371,0.149,0.310,0.971,0.603,0.438,0.280,0.784,0.247,0.000,0.096,0.097
0.143,1.000,0.091,0.233,0.016,0.259,0.067,0.028,0.084,0.025,0.052,0.092,0.390,0.836,0.989,0.705,0.186,0.000,0.330,0.242
0.286,1.000,0.364,0.367,0.020,0.231,0.025,0.060,0.211,0.048,0.138,0.213,0.440,0.808,0.914,0.864,0.041,0.000,0.213,0.065
0.000,0.968,0.545,0.767,0.138,0.150,0.164,0.037,0.295,0.063,0.017,0.046,0.177,0.384,0.409,0.591,0.546,0.000,0.064,0.016
0.143,1.000,0.455,0.700,0.003,0.075,0.015,0.028,0.425,0.008,0.017,0.078,0.447,0.712,0.806,0.614,0.340,0.000,0.128,0.032
0.143,1.000,0.182,0.300,0.096,0.327,0.057,0.240,0.418,0.253,0.155,0.669,0.553,0.562,0.290,0.886,0.041,0.044,0.053,0.032
0.000,0.989,0.545,0.467,0.044,0.184,0.093,0.103,0.044,0.039,0.138,0.067,0.525,0.699,0.688,0.670,0.031,0.000,0.245,0.032
0.143,0.989,1.000,0.267,0.014,0.177,0.000,0.031,0.400,0.022,0.155,0.075,0.688,0.356,0.796,0.625,0.196,0.000,0.085,0.032
0.000,0.978,0.455,0.333,0.008,0.163,0.089,0.012,0.422,0.004,0.052,0.002,0.191,0.795,0.376,0.580,0.320,0.000,0.043,0.016
0.000,0.989,0.636,0.600,0.064,0.259,0.162,0.067,0.251,0.053,0.069,0.003,0.213,0.877,0.570,0.523,0.103,0.000,0.277,0.081
0.286,0.871,0.636,0.500,0.114,0.354,0.527,0.299,0.160,0.007,0.034,0.000,0.574,0.548,0.903,0.955,0.031,0.000,0.074,0.097
0.000,0.957,0.909,0.533,0.414,0.231,0.627,0.650,0.418,0.001,0.207,0.000,0.213,0.438,0.559,0.830,0.124,0.000,0.330,0.048
0.143,0.935,0.636,0.333,0.284,0.204,0.636,0.329,0.349,0.001,0.034,0.143,0.355,0.164,0.086,0.239,0.959,0.000,0.074,0.016
0.143,1.000,0.455,0.667,0.016,0.218,0.018,0.037,0.215,0.033,0.086,0.092,0.447,0.753,0.591,0.636,0.103,0.000,0.245,0.048
0.000,1.000,0.364,0.467,0.008,0.224,0.026,0.015,0.458,0.007,0.000,0.155,0.461,0.808,0.699,0.841,0.031,0.000,0.255,0.048
0.000,1.000,0.000,0.033,0.033,0.184,0.116,0.039,0.451,0.015,0.017,0.023,0.440,0.781,0.753,0.773,0.371,0.000,0.085,0.032
0.000,0.871,0.000,0.000,0.177,0.313,0.077,0.036,0.444,0.290,0.052,0.386,0.603,0.260,0.172,0.875,0.216,0.000,0.064,0.113
0.143,1.000,0.000,0.333,0.108,0.299,0.195,0.177,0.393,0.261,0.500,0.023,0.404,0.753,0.495,0.614,0.278,0.000,0.064,0.048
0.000,0.828,0.273,0.633,0.264,0.170,0.329,0.045,0.291,0.604,0.017,0.001,0.532,0.397,0.172,0.864,0.000,0.000,0.043,0.048
0.429,1.000,0.455,0.033,0.019,0.109,0.030,0.046,0.135,0.032,0.000,0.198,0.532,0.548,0.194,0.511,0.474,0.000,0.096,0.097
0.286,0.989,1.000,0.033,0.031,0.313,0.075,0.036,0.327,0.031,0.017,0.185,0.383,0.712,0.473,0.500,0.186,0.000,0.160,0.516
0.571,1.000,0.364,0.700,0.003,0.054,0.015,0.004,0.320,0.001,0.000,0.055,0.319,0.726,0.989,0.716,0.330,0.000,0.064,0.032
0.000,0.935,0.000,0.000,0.313,0.088,0.691,0.010,0.000,0.002,0.000,0.000,0.213,0.507,0.140,0.409,0.165,0.000,0.085,0.000
0.000,0.989,0.545,0.633,0.044,0.156,0.184,0.122,0.200,0.051,0.000,0.009,0.475,0.452,0.172,0.523,0.464,0.011,0.309,0.016
0.000,0.935,0.000,1.000,0.359,0.156,0.700,0.372,0.440,0.003,0.172,0.033,0.426,0.740,0.753,0.784,0.041,0.000,0.213,0.145
0.429,1.000,0.364,0.600,0.005,0.048,0.022,0.009,0.033,0.027,0.017,0.069,0.418,0.836,0.656,0.466,0.691,0.000,0.106,0.065
0.143,1.000,0.455,0.000,0.005,0.054,0.003,0.007,0.007,0.031,0.034,0.069,0.482,0.959,0.688,0.636,0.433,0.000,0.096,0.371
0.000,0.774,0.000,0.000,0.398,0.293,0.456,0.146,0.276,0.004,0.086,0.000,0.333,0.945,0.677,0.648,0.000,0.000,0.351,0.113
0.286,1.000,0.545,0.400,0.008,0.211,0.003,0.025,0.105,0.027,0.052,0.218,0.227,0.767,0.946,0.909,0.052,0.000,0.032,0.048
